[2026-06-05 19:29:50,309: INFO:main:Welcome to our Custom log]
[2026-06-06 06:25:32,806: INFO:main:Welcome to our Custom log]
[2026-06-06 06:46:02,039: INFO:main:Welcome to our Custom log]
[2026-06-07 15:52:50,592: INFO:common:yaml file: config\config.yaml loaded successfully]
[2026-06-07 15:52:50,594: INFO:common:yaml file: params.yaml loaded successfully]
[2026-06-07 15:52:50,597: INFO:common:yaml file: dev.yaml loaded successfully]
[2026-06-07 15:53:35,802: INFO:common:yaml file: config\config.yaml loaded successfully]
[2026-06-07 15:53:35,804: INFO:common:yaml file: params.yaml loaded successfully]
[2026-06-07 15:55:24,908: INFO:common:yaml file: config\config.yaml loaded successfully]
[2026-06-07 15:55:24,910: INFO:common:yaml file: params.yaml loaded successfully]
[2026-06-07 15:55:25,427: INFO:common:created directory at: artifacts]
[2026-06-07 15:55:56,729: INFO:common:yaml file: config\config.yaml loaded successfully]
[2026-06-07 15:55:56,730: INFO:common:yaml file: params.yaml loaded successfully]
[2026-06-07 15:55:56,731: INFO:common:created directory at: artifacts]
[2026-06-07 15:55:56,731: INFO:common:created directory at: artifacts/data_ingestion]
[2026-06-07 16:21:22,818: INFO:common:yaml file: config\config.yaml loaded successfully]
[2026-06-07 16:21:22,821: INFO:common:yaml file: params.yaml loaded successfully]
[2026-06-07 16:21:22,823: INFO:common:created directory at: artifacts]
[2026-06-07 16:21:22,825: INFO:common:created directory at: artifacts/data_ingestion]
[2026-06-07 16:21:22,827: INFO:146514481:Downloading data from research/Chest-CT-Scan_data.zip into file artifacts/data_ingestion/data.zip]
[2026-06-07 16:21:23,444: INFO:146514481:Downloaded data from research/Chest-CT-Scan_data.zip into file artifacts/data_ingestion/data.zip]
[2026-06-10 14:28:23,404: INFO:common:yaml file: config\config.yaml loaded successfully]
[2026-06-10 14:28:23,440: INFO:common:yaml file: params.yaml loaded successfully]
[2026-06-10 14:28:23,445: INFO:common:created directory at: artifacts]
[2026-06-10 14:28:23,447: INFO:common:created directory at: artifacts/data_ingestion]
[2026-06-10 14:28:23,450: INFO:146514481:Downloading data from research/Chest-CT-Scan_data.zip into file artifacts/data_ingestion/data.zip]
[2026-06-10 14:28:24,433: INFO:146514481:Downloaded data from research/Chest-CT-Scan_data.zip into file artifacts/data_ingestion/data.zip]
[2026-06-10 14:30:20,863: INFO:common:yaml file: config\config.yaml loaded successfully]
[2026-06-10 14:30:20,868: INFO:common:yaml file: params.yaml loaded successfully]
[2026-06-10 14:30:20,871: INFO:common:created directory at: artifacts]
[2026-06-10 14:30:20,875: INFO:common:created directory at: artifacts/data_ingestion]
[2026-06-10 14:30:20,878: INFO:986331348:Downloading data from research/Chest-CT-Scan_data.zip into file artifacts/data_ingestion/data.zip]
[2026-06-10 14:39:57,667: INFO:common:yaml file: config\config.yaml loaded successfully]
[2026-06-10 14:39:57,683: INFO:common:yaml file: params.yaml loaded successfully]
[2026-06-10 14:39:57,693: INFO:common:created directory at: artifacts]
[2026-06-10 14:39:57,697: INFO:common:created directory at: artifacts/data_ingestion]
